date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
22/2/2021,4,0,0,0,0,21811
27/11/2020,8,0,0,0,0,8990
25/11/2021,0,0,0,0,0,58406
3/5/2021,9,0,0,0,0,14877
20/1/2021,5,0,0,0,0,13372
14/8/2021,2,30,226,67,0,123018
31/3/2020,67,23,36,0,5,4108
28/6/2020,3,0,0,0,0,7348
6/3/2020,0,0,0,0,0,1763
11/8/2021,2,43,252,74,0,149453
8/11/2021,4,3,151,43,3,99704
17/6/2020,2,0,0,0,0,15555
14/2/2021,0,0,0,0,0,9393
14/5/2021,2,0,0,0,0,11229
17/2/2020,0,0,0,0,0,200
2/8/2020,3,1,4,0,3,11107
1/6/2021,1,0,0,0,0,18795
24/12/2021,0,0,0,0,0,111840
24/7/2021,0,10,101,28,0,83385
30/12/2020,6,0,3,0,0,34684
10/4/2021,7,0,0,0,0,4398
9/4/2020,23,4,14,0,0,3743
6/9/2021,2,208,623,440,0,149961
23/9/2020,2,0,1,0,0,12532
8/11/2020,7,0,0,0,0,7543
22/11/2020,5,0,0,0,0,5440
9/9/2020,4,0,6,0,0,20259
26/10/2021,1,5,200,59,0,80743
19/2/2021,1,0,0,0,0,13409
29/5/2020,1,0,0,0,0,9112
24/11/2021,0,0,0,0,0,71377
27/8/2021,2,149,644,332,0,128193
22/3/2020,93,5,20,1,2,1890
28/4/2021,17,0,0,0,0,11226
3/7/2020,8,0,0,0,0,13912
29/1/2021,3,0,0,0,0,9013
5/10/2021,0,26,219,297,0,120530
7/12/2020,4,0,0,0,0,14600
20/3/2021,5,0,0,0,0,4364
14/5/2020,2,0,1,0,0,11107
11/8/2020,1,2,10,0,2,25737
9/3/2020,5,1,7,0,0,4037
11/2/2021,2,0,0,0,0,13957
9/5/2021,6,0,0,0,0,7728
8/8/2021,4,22,186,48,0,123249
22/6/2020,1,0,0,0,0,20169
3/11/2021,1,6,214,71,0,78317
20/4/2020,0,1,1,0,0,6594
6/10/2020,3,0,0,0,0,13275
27/9/2021,2,101,427,301,1,127562
28/3/2021,4,0,0,0,0,5506
28/10/2020,0,1,3,0,0,12725
5/1/2021,1,1,2,0,0,27094
23/6/2021,0,0,12,0,0,60819
11/7/2020,1,0,1,0,0,9765
11/2/2020,0,0,0,0,0,129
2/7/2021,8,2,31,1,0,50465
18/12/2021,0,0,0,0,0,123377
15/1/2020,0,0,0,0,0,1
3/7/2021,2,0,21,1,0,36392
6/1/2021,10,0,2,0,0,26449
17/12/2021,0,0,0,0,0,165163
22/6/2021,2,1,16,0,0,45439
10/2/2020,0,0,0,0,0,124
12/7/2020,5,0,8,0,2,8955
30/4/2021,4,0,0,0,0,8549
20/3/2020,56,8,24,0,0,5377
22/11/2021,0,0,0,0,0,82262
25/8/2021,4,111,591,255,0,147178
1/7/2020,6,0,0,0,0,16191
31/1/2021,4,0,0,0,0,5379
31/7/2021,1,13,174,53,0,91152
11/11/2021,2,9,184,61,0,58942
17/3/2020,43,2,19,0,0,6647
14/6/2020,5,1,0,0,0,6342
3/2/2021,3,0,0,0,0,10196
17/5/2021,3,0,0,0,0,20982
28/2/2020,0,0,0,0,0,324
4/6/2021,4,0,0,0,0,14816
30/7/2020,4,1,17,0,0,23095
27/12/2021,0,0,0,0,0,16792
19/12/2020,4,0,28,0,0,41596
13/7/2021,3,6,65,17,0,76269
18/4/2021,9,0,0,0,0,4470
29/8/2021,2,157,678,361,0,148082
15/9/2020,2,0,3,0,0,17143
17/4/2020,4,8,3,0,0,7145
31/10/2020,5,0,0,0,0,6465
27/3/2021,0,0,0,0,0,5154
