date,source_overseas,source_locally_acquired_no_links,source_locally_acquired_linked,source_locally_acquired_investigation,source_interstate,test_count
11/8/2020,1,2,10,0,2,25737
9/3/2020,5,1,7,0,0,4037
11/2/2021,2,0,0,0,0,13957
9/5/2021,6,0,0,0,0,7728
8/8/2021,4,17,173,66,0,123244
22/6/2020,1,0,0,0,0,20169
20/4/2020,0,1,1,0,0,6594
6/10/2020,3,0,0,0,0,13275
27/9/2021,2,51,341,439,1,127560
28/3/2021,4,0,0,0,0,5506
28/10/2020,0,1,3,0,0,12725
5/1/2021,1,1,2,0,0,27094
23/6/2021,0,0,12,0,0,60819
11/2/2020,0,0,0,0,0,129
11/7/2020,1,0,1,0,0,9765
2/7/2021,8,2,31,1,0,50465
15/1/2020,0,0,0,0,0,1
3/7/2021,2,0,21,1,0,36391
6/1/2021,10,0,2,0,0,26449
22/6/2021,2,1,16,0,0,45439
10/2/2020,0,0,0,0,0,124
12/7/2020,5,0,8,0,2,8955
30/4/2021,4,0,0,0,0,8549
20/3/2020,56,8,24,0,0,5377
25/8/2021,4,50,469,440,0,147174
1/7/2020,6,0,0,0,0,16191
31/1/2021,4,0,0,0,0,5379
31/7/2021,1,6,159,75,0,91149
17/3/2020,43,2,19,0,0,6647
14/6/2020,5,1,0,0,0,6342
3/2/2021,3,0,0,0,0,10196
17/5/2021,3,0,0,0,0,20982
28/2/2020,0,0,0,0,0,324
4/6/2021,4,0,0,0,0,14816
30/7/2020,4,1,17,0,0,23095
19/12/2020,4,0,28,0,0,41596
13/7/2021,3,5,64,19,0,76269
18/4/2021,9,0,0,0,0,4470
29/8/2021,2,52,423,723,0,148082
17/4/2020,4,8,3,0,0,7145
15/9/2020,2,0,3,0,0,17143
31/10/2020,5,0,0,0,0,6465
27/3/2021,0,0,0,0,0,5154
7/10/2020,4,2,9,0,0,11388
25/10/2020,3,0,0,0,0,4947
28/9/2021,3,71,401,429,2,103133
23/4/2020,1,4,3,0,0,5507
19/3/2021,2,0,0,0,0,8710
6/10/2021,0,21,212,397,0,99121
12/8/2020,5,0,5,0,0,26453
4/12/2020,2,0,0,0,0,9299
17/5/2020,1,0,0,0,0,4415
10/4/2020,15,5,10,0,0,1466
7/11/2020,4,0,0,0,0,7970
7/4/2021,1,0,0,0,0,10619
9/9/2021,2,111,451,957,0,117477
26/9/2020,0,0,0,0,0,5971
18/4/2020,0,6,11,0,0,3749
1/9/2021,0,75,386,867,1,137782
15/4/2021,1,0,0,0,0,8144
18/9/2020,3,0,1,0,0,12028
30/10/2020,3,0,1,0,0,11121
13/3/2020,13,3,3,0,0,4392
10/6/2020,0,0,0,0,0,14370
7/2/2021,5,0,0,0,0,6213
21/5/2021,3,0,0,0,0,10740
4/8/2021,5,10,173,60,0,112479
